PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
12-120;UP DŸwierzuty;DŸwierzuty;Niepodleg³oœci;13;DŸwierzuty;szczycieñski;warmiñsko-mazurskie
82-309;AP Elbl¹g;Elbl¹g;Pu³kownika Stanis³awa D¹bka;152/073;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-310;AP Elbl¹g;Elbl¹g;Aleja Grunwaldzka;2;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-303;AP Elbl¹g;Elbl¹g;Morszyñska;66;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-300;UP Elbl¹g 1;Elbl¹g;Plac S³owiañski;1/3;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-315;FUP Elbl¹g 1;Elbl¹g;Józefa Che³moñskiego;8;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-317;FUP Elbl¹g 1;Elbl¹g;Fromborska;27A;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-302;FUP Elbl¹g 1;Elbl¹g;Micha³a Kajki;1;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-311;FUP Elbl¹g 1;Elbl¹g;Kosynierów Gdyñskich;54 A/1;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-300;FUP Elbl¹g 1;Elbl¹g;Lubraniecka;32;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-300;FUP Elbl¹g 1;Elbl¹g;Jana Szucha;3 A;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-310;UP Elbl¹g 2;Elbl¹g;Plac Dworcowy;2;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-305;FUP Elbl¹g 2;Elbl¹g;Genera³a Józefa Bema;29;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-310;FUP Elbl¹g 2;Elbl¹g;Kielecka;12;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-310;FUP Elbl¹g 2;Elbl¹g;Orla;5;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-310;FUP Elbl¹g 2;Elbl¹g;Stefana ¯eromskiego;2;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-335;FUP Elbl¹g 2;Gronowo Elbl¹skie;£¹cznoœci;16;Gronowo Elbl¹skie;elbl¹ski;warmiñsko-mazurskie
82-304;FUP Elbl¹g 2;Gronowo Górne;Diamentowa;3;Elbl¹g;elbl¹ski;warmiñsko-mazurskie
82-325;FUP Elbl¹g 2;Markusy;Markusy;83;Markusy;elbl¹ski;warmiñsko-mazurskie
82-310;FUP Elbl¹g 2;Milejewo;Góra Maœlana;4;Milejewo;elbl¹ski;warmiñsko-mazurskie
82-308;UP Elbl¹g 10;Elbl¹g;Nowowiejska;1;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-312;UP Elbl¹g 13;Elbl¹g;Aleja Odrodzenia;10;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
82-314;UP Elbl¹g 15;Elbl¹g;Ogólna;55;Elbl¹g;Elbl¹g;warmiñsko-mazurskie
83-034;AP E³ganowo;E³ganowo;Asfaltowa;11;Tr¹bki Wielkie;gdañski;pomorskie
19-302;AP E³k;E³k;pl. Miejski;1;E³k;e³cki;warmiñsko-mazurskie
19-307;AP E³k;E³k;Suwalska;84/lok.103;E³k;e³cki;warmiñsko-mazurskie
19-302;AP E³k;E³k;Matki Teresy z Kalkuty;2;E³k;e³cki;warmiñsko-mazurskie
19-302;AP E³k;E³k;Wojska Polskiego;53/1;E³k;e³cki;warmiñsko-mazurskie
19-300;UP E³k 1;E³k;Fryderyka Chopina;1;E³k;e³cki;warmiñsko-mazurskie
19-305;FUP E³k 1;E³k;gen. Grota-Roweckiego;1;E³k;e³cki;warmiñsko-mazurskie
19-301;FUP E³k 1;E³k;Jana Paw³a II;3 B;E³k;e³cki;warmiñsko-mazurskie
19-303;FUP E³k 1;E³k;gen. W³adys³awa Sikorskiego;3 A;E³k;e³cki;warmiñsko-mazurskie
19-300;FUP E³k 1;E³k;Suwalska;19;E³k;e³cki;warmiñsko-mazurskie
19-300;FUP E³k 1;E³k;Juliana Tuwima;22/3U;E³k;e³cki;warmiñsko-mazurskie
19-314;FUP E³k 1;Kalinowo;Mazurska;8;Kalinowo;e³cki;warmiñsko-mazurskie
19-335;FUP E³k 1;Prostki;1 Maja;43;Prostki;e³cki;warmiñsko-mazurskie
19-330;FUP E³k 1;Stare Juchy;E³cka;15;Stare Juchy;e³cki;warmiñsko-mazurskie
19-304;UP E³k 6;E³k;Jana Kiliñskiego;40;E³k;e³cki;warmiñsko-mazurskie
87-811;UP Fabianki;Fabianki;;3;Fabianki;w³oc³awski;kujawsko-pomorskie
21-060;UP Fajs³awice;Fajs³awice;;107;Fajs³awice;krasnostawski;lubelskie
62-200;AP Fa³kowo;Fa³kowo;;19;£ubowo;gnieŸnieñski;wielkopolskie
12-115;AP Faryny;Faryny;;5;Rozogi;szczycieñski;warmiñsko-mazurskie
16-424;UP Filipów;Filipów;1 Maja;1;Filipów;suwalski;podlaskie
21-136;UP Firlej;Firlej;Rynek;15;Firlej;lubartowski;lubelskie
14-105;AP Florczaki;Florczaki;;61;£ukta;ostródzki;warmiñsko-mazurskie
16-060;AP Folwarki Tylwickie;Folwarki Tylwickie;;37;Zab³udów;bia³ostocki;podlaskie
11-320;AP Franknowo;Franknowo;;14 A;Jeziorany;olsztyñski;warmiñsko-mazurskie
14-200;AP Frednowy;Frednowy;;19;I³awa;i³awski;warmiñsko-mazurskie
37-734;UP Fredropol;Fredropol;;16;Fredropol;przemyski;podkarpackie
11-214;AP Galiny;Galiny;;31;Bartoszyce;bartoszycki;warmiñsko-mazurskie
49-202;AP Ga³¹zczyce;Ga³¹zczyce;;39A;Grodków;brzeski;opolskie
16-425;AP Garbas Drugi;Garbas Drugi;;13;Filipów;suwalski;podlaskie
26-930;UP Garbatka-Letnisko;Garbatka-Letnisko;Jana Kochanowskiego;35;Garbatka-Letnisko;kozienicki;mazowieckie
26-920;FUP Garbatka-Letnisko;Gniewoszów;Rynek;42;Gniewoszów;kozienicki;mazowieckie
26-922;FUP Garbatka-Letnisko;Sieciechów;Kozienicka;1;Sieciechów;kozienicki;mazowieckie
11-430;AP Garbno;Garbno;;33;Korsze;kêtrzyñski;warmiñsko-mazurskie
21-080;UP Garbów;Garbów;Krakowskie Przedmieœcie;52;Garbów;lubelski;lubelskie
08-401;AP Garwolin;Garwolin;Aleja Legionów;34;Garwolin;garwoliñski;mazowieckie
08-400;AP Garwolin;Garwolin;Janusza Korczaka;13;Garwolin;garwoliñski;mazowieckie
08-400;UP Garwolin 1;Garwolin;Koœciuszki;41;Garwolin;garwoliñski;mazowieckie
08-412;FUP Garwolin 1;Borowie;Aleksandra Sasimowskiego;2;Borowie;garwoliñski;mazowieckie
08-404;FUP Garwolin 1;Górzno;Bankowa;2;Górzno;garwoliñski;mazowieckie
08-441;FUP Garwolin 1;Parysów;Koœciuszki;28;Parysów;garwoliñski;mazowieckie
39-307;UP Gaw³uszowice;Gaw³uszowice;;5a;Gaw³uszowice;mielecki;podkarpackie
09-530;UP G¹bin;G¹bin;P³ocka;1;G¹bin;p³ocki;mazowieckie
09-520;FUP G¹bin;£¹ck;Kolejowa;2;£¹ck;p³ocki;mazowieckie
19-400;AP G¹ski;G¹ski;;16;Olecko;olecki;warmiñsko-mazurskie
80-182;AP Gdañsk;Gdañsk;Konstantego Bergiela;4a/14;Gdañsk;Gdañsk;pomorskie
80-294;AP Gdañsk;Gdañsk;Buloñska;16/8;Gdañsk;Gdañsk;pomorskie
80-809;AP Gdañsk;Gdañsk;Cienista;30;Gdañsk;Gdañsk;pomorskie
80-174;AP Gdañsk;Gdañsk;Lubowidzka;41;Gdañsk;Gdañsk;pomorskie
80-181;AP Gdañsk;Gdañsk;P³ocka;6;Gdañsk;Gdañsk;pomorskie
80-295;AP Gdañsk;Gdañsk;Wodnika;79;Gdañsk;Gdañsk;pomorskie
80-800;UP Gdañsk 1;Gdañsk;pl. Obroñców Poczty Polskiej;1/2;Gdañsk;Gdañsk;pomorskie
80-504;UP Gdañsk 4;Gdañsk;ks. Mariana Góreckiego;12A;Gdañsk;Gdañsk;pomorskie
80-955;UP Gdañsk 4;skrytki/przegródki;;;Gdañsk;Gdañsk;pomorskie
80-865;FUP Gdañsk 4;Gdañsk;Marynarki Polskiej;132;Gdañsk;Gdañsk;pomorskie
80-504;FUP Gdañsk 4;Gdañsk;Oliwska;35;Gdañsk;Gdañsk;pomorskie
80-305;UP Gdañsk 5;Gdañsk;Stary Rynek Oliwski;18;Gdañsk;Gdañsk;pomorskie
80-953;UP Gdañsk 5;skrytki/przegródki;;;Gdañsk;Gdañsk;pomorskie
80-340;FUP Gdañsk 5;Gdañsk;al. Grunwaldzka;611;Gdañsk;Gdañsk;pomorskie
80-327;FUP Gdañsk 5;Gdañsk;Piotra Norblina;23;Gdañsk;Gdañsk;pomorskie
80-329;FUP Gdañsk 5;Gdañsk;Piastowska;90 e;Gdañsk;Gdañsk;pomorskie
80-345;FUP Gdañsk 5;Gdañsk;Pomorska;84;Gdañsk;Gdañsk;pomorskie
80-348;FUP Gdañsk 5;Gdañsk;Subis³awa;24;Gdañsk;Gdañsk;pomorskie
80-206;UP Gdañsk 6;Gdañsk;al. Grunwaldzka;108;Gdañsk;Gdañsk;pomorskie
80-952;UP Gdañsk 6;skrytki/przegródki;;;Gdañsk;Gdañsk;pomorskie
80-465;FUP Gdañsk 6;Gdañsk;Franciszka Hynka;6;Gdañsk;Gdañsk;pomorskie
80-463;FUP Gdañsk 6;Gdañsk;al. Jana Paw³a II;5;Gdañsk;Gdañsk;pomorskie
80-411;FUP Gdañsk 6;Gdañsk;Adama Mickiewicza;1/3;Gdañsk;Gdañsk;pomorskie
80-460;FUP Gdañsk 6;Gdañsk;Pilotów;3;Gdañsk;Gdañsk;pomorskie
80-473;FUP Gdañsk 6;Gdañsk;Podkarpacka;1;Gdañsk;Gdañsk;pomorskie
80-403;FUP Gdañsk 6;Gdañsk;Rac³awicka;7 A;Gdañsk;Gdañsk;pomorskie
80-212;FUP Gdañsk 6;Gdañsk;ks. Bernarda Sychty;6;Gdañsk;Gdañsk;pomorskie
80-213;FUP Gdañsk 6;Gdañsk;al. Zwyciêstwa;47;Gdañsk;Gdañsk;pomorskie
80-472;FUP Gdañsk 6;Gdañsk;¯wirki i Wigury;12;Gdañsk;Gdañsk;pomorskie
80-097;UP Gdañsk 7;Gdañsk;Krzemowa;2;Gdañsk;Gdañsk;pomorskie
80-097;FUP Gdañsk 7;Gdañsk;Królowej Jadwigi;137;Gdañsk;Gdañsk;pomorskie
80-608;UP Gdañsk 8;Gdañsk;Wilhelma Stryjewskiego;19;Gdañsk;Gdañsk;pomorskie
80-791;FUP Gdañsk 8;Gdañsk;Teofila Lenartowicza;4 A;Gdañsk;Gdañsk;pomorskie
80-009;UP Gdañsk 9;Gdañsk;Goœcinna;6;Gdañsk;Gdañsk;pomorskie
80-009;FUP Gdañsk 9;Gdañsk;Trakt œw. Wojciecha;434;Gdañsk;Gdañsk;pomorskie
80-190;UP Gdañsk 16;Gdañsk;Gronostajowa;4;Gdañsk;Gdañsk;pomorskie
80-190;FUP Gdañsk 16;Gdañsk;Szczêœliwa;3;Gdañsk;Gdañsk;pomorskie
80-118;UP Gdañsk 18;Gdañsk;Kartuska;94;Gdañsk;Gdañsk;pomorskie
80-700;FUP Gdañsk 18;Gdañsk;Podwale Grodzkie;2;Gdañsk;Gdañsk;pomorskie
80-820;UP Gdañsk 20;Gdañsk;Bernarda Milskiego;1;Gdañsk;Gdañsk;pomorskie
80-962;UP Gdañsk 20;skrytki/przegródki;;;Gdañsk;Gdañsk;pomorskie
80-424;UP Gdañsk 24;Gdañsk;Kielnieñska;125;Gdañsk;Gdañsk;pomorskie
80-299;FUP Gdañsk 24;Gdañsk;Kozioro¿ca;33;Gdañsk;Gdañsk;pomorskie
80-507;UP Gdañsk 26;Gdañsk;Mazurska;10;Gdañsk;Gdañsk;pomorskie
80-506;FUP Gdañsk 26;Gdañsk;al. gen. Józefa Hallera;233;Gdañsk;Gdañsk;pomorskie
80-680;UP Gdañsk 40;Gdañsk;Nadwiœlañska;24;Gdañsk;Gdañsk;pomorskie
80-180;UP Gdañsk 42;Gdañsk;Œwiêtokrzyska;62;Gdañsk;Gdañsk;pomorskie
83-009;FUP Gdañsk 42;Borkowo;Wspó³czesna;1;Pruszcz Gdañski;gdañski;pomorskie
80-180;FUP Gdañsk 42;Gdañsk;Konrada Guderskiego;2;Gdañsk;Gdañsk;pomorskie
80-183;FUP Gdañsk 42;Gdañsk;Niepo³omicka;32;Gdañsk;Gdañsk;pomorskie
80-158;FUP Gdañsk 42;Gdañsk;Warszawska;100/U7;Gdañsk;Gdañsk;pomorskie
80-298;UP Gdañsk 43;Gdañsk;Z³ota Karczma;26;Gdañsk;Gdañsk;pomorskie
80-256;FUP Gdañsk 43;Gdañsk;Budowlanych;31 D;Gdañsk;Gdañsk;pomorskie
80-473;FUP Gdañsk 43;Gdañsk;Juliusza S³owackiego;200;Gdañsk;Gdañsk;pomorskie
80-250;UP Gdañsk 44;Gdañsk;Zofii Na³kowskiej;3;Gdañsk;Gdañsk;pomorskie
80-126;FUP Gdañsk 44;Gdañsk;Piekarnicza;21/1;Gdañsk;Gdañsk;pomorskie
80-172;FUP Gdañsk 44;Gdañsk;Franciszka Schuberta;102 A;Gdañsk;Gdañsk;pomorskie
80-169;UP Gdañsk 48;Gdañsk;Ignacego Paderewskiego;11;Gdañsk;Gdañsk;pomorskie
80-801;UP Gdañsk 50;Gdañsk;D³uga;23/28;Gdañsk;Gdañsk;pomorskie
80-958;UP Gdañsk 50;skrytki/przegródki;;;Gdañsk;Gdañsk;pomorskie
80-876;FUP Gdañsk 50;Gdañsk;Tytusa Cha³ubiñskiego;25;Gdañsk;Gdañsk;pomorskie
80-792;FUP Gdañsk 50;Gdañsk;D³ugie Ogrody;47;Gdañsk;Gdañsk;pomorskie
80-715;FUP Gdañsk 50;Gdañsk;£¹kowa;7;Gdañsk;Gdañsk;pomorskie
80-832;FUP Gdañsk 50;Gdañsk;Nowe Ogrody;8/12;Gdañsk;Gdañsk;pomorskie
80-810;FUP Gdañsk 50;Gdañsk;Okopowa;21/27;Gdañsk;Gdañsk;pomorskie
80-837;FUP Gdañsk 50;Gdañsk;Straganiarska;28/30;Gdañsk;Gdañsk;pomorskie
80-814;FUP Gdañsk 50;Gdañsk;Jana Styp-Rekowskiego;14;Gdañsk;Gdañsk;pomorskie
80-825;FUP Gdañsk 50;Gdañsk;Szeroka;98;Gdañsk;Gdañsk;pomorskie
80-806;FUP Gdañsk 50;Gdañsk;Targ Rakowy;7/8;Gdañsk;Gdañsk;pomorskie
80-223;UP Gdañsk 53;Gdañsk;Czerwony Dwór;17;Gdañsk;Gdañsk;pomorskie
80-323;FUP Gdañsk 53;Gdañsk;Ko³obrzeska;5-7;Gdañsk;Gdañsk;pomorskie
80-325;FUP Gdañsk 53;Gdañsk;Ko³obrzeska;48C;Gdañsk;Gdañsk;pomorskie
80-334;FUP Gdañsk 53;Gdañsk;Obroñców Wybrze¿a;2;Gdañsk;Gdañsk;pomorskie
80-326;FUP Gdañsk 53;Gdañsk;Szczeciñska;2/2;Gdañsk;Gdañsk;pomorskie
80-961;FUP Gdañsk 53;skrytki/przegródki;;;Gdañsk;Gdañsk;pomorskie
83-002;PP Gdañsk G102;Gdañsk;Handlowa;4;Gdañsk;Gdañsk;pomorskie
32-420;UP Gdów;Gdów;;1096;Gdów;wielicki;ma³opolskie
81-033;AP Gdynia;Gdynia;Chyloñska;65;Gdynia;Gdynia;pomorskie
81-155;AP Gdynia;Gdynia;p³k. Stanis³awa D¹bka;232;Gdynia;Gdynia;pomorskie
81-578;AP Gdynia;Gdynia;Stanis³awa Filipkowskiego;20/U-2;Gdynia;Gdynia;pomorskie
81-472;AP Gdynia;Gdynia;Legionów;119 D/3 U;Gdynia;Gdynia;pomorskie
81-603;AP Gdynia;Gdynia;Leona Staniszewskiego;15/4;Gdynia;Gdynia;pomorskie
81-570;AP Gdynia;Gdynia;Waniliowa;6;Gdynia;Gdynia;pomorskie
81-301;UP Gdynia 1;Gdynia;10 Lutego;10;Gdynia;Gdynia;pomorskie
81-963;UP Gdynia 1;skrytki/przegródki;;;Gdynia;Gdynia;pomorskie
81-607;FUP Gdynia 1;Gdynia;Atlasa;3;Gdynia;Gdynia;pomorskie
81-354;FUP Gdynia 1;Gdynia;pl. Konstytucji;1;Gdynia;Gdynia;pomorskie
81-624;FUP Gdynia 1;Gdynia;2 Morskiego Pu³ku Strzelców;11;Gdynia;Gdynia;pomorskie
81-660;FUP Gdynia 1;Gdynia;Narcyzowa;1/10;Gdynia;Gdynia;pomorskie
81-611;FUP Gdynia 1;Gdynia;Wielkokacka;2/26;Gdynia;Gdynia;pomorskie
81-315;FUP Gdynia 1;Gdynia;Witomiñska;2;Gdynia;Gdynia;pomorskie
81-308;FUP Gdynia 1;Gdynia;W³adys³awa IV;43;Gdynia;Gdynia;pomorskie
81-198;FUP Gdynia 1;Kosakowo;Hieronima Derdowskiego;73/2;Kosakowo;pucki;pomorskie
81-320;UP Gdynia 2;Gdynia;pl. Konstytucji;2;Gdynia;Gdynia;pomorskie
81-103;UP Gdynia 3;Gdynia;Podchor¹¿ych;10;Gdynia;Gdynia;pomorskie
81-192;FUP Gdynia 3;Gdynia;Cechowa;8;Gdynia;Gdynia;pomorskie
81-004;UP Gdynia 4;Gdynia;Chyloñska;124;Gdynia;Gdynia;pomorskie
81-040;FUP Gdynia 4;Gdynia;B³awatna;11 A/1U;Gdynia;Gdynia;pomorskie
81-005;FUP Gdynia 4;Gdynia;Kcyñska;27;Gdynia;Gdynia;pomorskie
81-209;FUP Gdynia 4;Gdynia;Morska;99;Gdynia;Gdynia;pomorskie
81-006;FUP Gdynia 4;Gdynia;Morska;228/C;Gdynia;Gdynia;pomorskie
81-290;FUP Gdynia 4;Gdynia;Ludwika Zamenhofa;15;Gdynia;Gdynia;pomorskie
81-106;UP Gdynia 6;Gdynia;adm. J.Unruga;39;Gdynia;Gdynia;pomorskie
81-197;FUP Gdynia 6;Gdynia;Ikara;9;Gdynia;Gdynia;pomorskie
81-188;FUP Gdynia 6;Gdynia;Kadm. Boles³awa Romanowskiego;24 A;Gdynia;Gdynia;pomorskie
81-510;UP Gdynia 10;Gdynia;al. Zwyciêstwa;254;Gdynia;Gdynia;pomorskie
81-513;FUP Gdynia 10;Gdynia;pl. Górnoœl¹ski;8/1;Gdynia;Gdynia;pomorskie
81-570;UP Gdynia 11;Gdynia;Nagietkowa;13 A;Gdynia;Gdynia;pomorskie
81-414;UP Gdynia 14;Gdynia;Harcerska;15;Gdynia;Gdynia;pomorskie
81-420;FUP Gdynia 14;Gdynia;Boh. Starówki Warszawskiej;6;Gdynia;Gdynia;pomorskie
81-516;UP Gdynia 16;Gdynia;Chwaszczyñska;22;Gdynia;Gdynia;pomorskie
81-919;FUP Gdynia 16;Gdynia;Gryfa Pomorskiego;56/UB /2;Gdynia;Gdynia;pomorskie
81-516;FUP Gdynia 16;Gdynia;Korzenna;15;Gdynia;Gdynia;pomorskie
81-577;FUP Gdynia 16;Gdynia;Nowowiczliñska;35;Gdynia;Gdynia;pomorskie
21-205;AP Gêœ;Gêœ;;96A;Jab³oñ;parczewski;lubelskie
59-631;AP Giebu³tów;Giebu³tów;;136;Mirsk;lwówecki;dolnoœl¹skie
37-301;AP Giedlarowa;Giedlarowa;;338;Le¿ajsk;le¿ajski;podkarpackie
59-731;AP Giera³tów;Giera³tów;;44;Nowogrodziec;boles³awiecki;dolnoœl¹skie
11-036;UP Gietrzwa³d;Gietrzwa³d;Olsztyñska;2;Gietrzwa³d;olsztyñski;warmiñsko-mazurskie
62-402;AP Giewartów;Giewartów;Kwiatowa;16;Ostrowite;s³upecki;wielkopolskie
34-322;UP Gilowice;Gilowice;Krakowska;40;Gilowice;¿ywiecki;œl¹skie
11-030;AP Gi³awy;Gi³awy;;1;Purda;olsztyñski;warmiñsko-mazurskie
63-308;UP Giza³ki;Giza³ki;Kaliska;23a;Giza³ki;pleszewski;wielkopolskie
11-504;AP Gi¿ycko;Gi¿ycko;Królowej Jadwigi;14;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie
11-504;AP Gi¿ycko;Gi¿ycko;Targowy Pl.;3/1;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie
11-500;UP Gi¿ycko 1;Gi¿ycko;Pocztowa;2;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie
11-500;FUP Gi¿ycko 1;Gi¿ycko;Aleja Wojska Polskiego;8;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie
11-507;FUP Gi¿ycko 1;skrytki/przegródki;;;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie
11-500;FUP Gi¿ycko 1;Gi¿ycko;Daszyñskiego;28 A;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie
11-508;FUP Gi¿ycko 1;Gi¿ycko;Królowej Jadwigi;4/2;Gi¿ycko;gi¿ycki;warmiñsko-mazurskie
11-612;FUP Gi¿ycko 1;Kruklanki;Dworcowa;3;Kruklanki;gi¿ycki;warmiñsko-mazurskie
11-513;FUP Gi¿ycko 1;Mi³ki;Mazurska;2;Mi³ki;gi¿ycki;warmiñsko-mazurskie
06-450;UP Glinojeck;Glinojeck;gen. Józefa Bema;1;Glinojeck;ciechanowski;mazowieckie
44-100;AP Gliwice;Gliwice;Krupnicza;8;Gliwice;Gliwice;œl¹skie
44-102;AP Gliwice;Gliwice;Lipowa;48/1;Gliwice;Gliwice;œl¹skie
44-100;AP Gliwice;Gliwice;Miko³owska;4/U8;Gliwice;Gliwice;œl¹skie
44-108;AP Gliwice;Gliwice;Odrow¹¿ów;101£;Gliwice;Gliwice;œl¹skie
44-112;AP Gliwice;Gliwice;Sztabu Powstañczego;7b;Gliwice;Gliwice;œl¹skie
44-110;AP Gliwice;Gliwice;Ludwika Waryñskiego;1;Gliwice;Gliwice;œl¹skie
44-100;UP Gliwice 1;Gliwice;Zwyciêstwa;28;Gliwice;Gliwice;œl¹skie
44-100;FUP Gliwice 1;Gliwice;Ignacego Daszyñskiego;152;Gliwice;Gliwice;œl¹skie
44-107;FUP Gliwice 1;Gliwice;Kozielska;6;Gliwice;Gliwice;œl¹skie
44-100;FUP Gliwice 1;Gliwice;£anowa;2;Gliwice;Gliwice;œl¹skie
44-102;UP Gliwice 2;Gliwice;Bohaterów Getta Warszawskiego;14;Gliwice;Gliwice;œl¹skie
44-106;FUP Gliwice 2;Gliwice;Chorzowska;1;Gliwice;Gliwice;œl¹skie
44-151;FUP Gliwice 2;Gliwice;Ignacego Daszyñskiego;500;Gliwice;Gliwice;œl¹skie
44-102;FUP Gliwice 2;Gliwice;pl. Jaœminu;2;Gliwice;Gliwice;œl¹skie
44-102;FUP Gliwice 2;Gliwice;Lipowa;1;Gliwice;Gliwice;œl¹skie
44-102;FUP Gliwice 2;Gliwice;£abêdzka;26;Gliwice;Gliwice;œl¹skie
44-102;FUP Gliwice 2;Gliwice;al. Jana Nowaka-Jeziorañskiego;1;Gliwice;Gliwice;œl¹skie
44-111;FUP Gliwice 2;Gliwice;Obroñców Poczty Gdañskiej;10;Gliwice;Gliwice;œl¹skie
44-115;FUP Gliwice 2;Gliwice;Pszczyñska;315;Gliwice;Gliwice;œl¹skie
44-105;FUP Gliwice 2;Gliwice;Tarnogórska;231;Gliwice;Gliwice;œl¹skie
44-119;FUP Gliwice 2;Gliwice;Wiœlana;5;Gliwice;Gliwice;œl¹skie
44-117;UP Gliwice 20;Gliwice;Centaura;29;Gliwice;Gliwice;œl¹skie
44-109;FUP Gliwice 20;Gliwice;Staromiejska;4;Gliwice;Gliwice;œl¹skie
44-113;FUP Gliwice 20;Gliwice;Zygmuntowska;34;Gliwice;Gliwice;œl¹skie
44-121;UP Gliwice 21;Gliwice;Emilii Plater;1;Gliwice;Gliwice;œl¹skie
44-121;FUP Gliwice 21;Gliwice;Per³owa;21;Gliwice;Gliwice;œl¹skie
44-164;FUP Gliwice 21;Gliwice;Sopocka;2;Gliwice;Gliwice;œl¹skie
44-122;UP Gliwice 22;Gliwice;¯wirki i Wigury;66;Gliwice;Gliwice;œl¹skie
44-114;FUP Gliwice 22;Gliwice;Perkoza;12;Gliwice;Gliwice;œl¹skie
32-444;AP G³ogoczów;G³ogoczów;;918;Myœlenice;myœlenicki;ma³opolskie
67-207;AP G³ogów;G³ogów;B³ogos³awionej Siostry Faustyny Pl.;610/3;G³ogów;g³ogowski;dolnoœl¹skie
67-201;AP G³ogów;G³ogów;Polska;17;G³ogów;g³ogowski;dolnoœl¹skie
67-210;AP G³ogów;G³ogów;Saturna;34;G³ogów;g³ogowski;dolnoœl¹skie
67-210;AP G³ogów;G³ogów;S³owiañska;31;G³ogów;g³ogowski;dolnoœl¹skie
67-210;UP G³ogów 2;G³ogów;1 Maja;1;G³ogów;g³ogowski;dolnoœl¹skie
67-221;FUP G³ogów 2;Bia³o³êka;;12;Pêc³aw;g³ogowski;dolnoœl¹skie
67-202;FUP G³ogów 2;G³ogów;Budowlanych;12;G³ogów;g³ogowski;dolnoœl¹skie
67-203;FUP G³ogów 2;G³ogów;Galileusza;18a;G³ogów;g³ogowski;dolnoœl¹skie
67-205;FUP G³ogów 2;G³ogów;GwiaŸdzista;27a;G³ogów;g³ogowski;dolnoœl¹skie
67-206;FUP G³ogów 2;G³ogów;Jagielloñska;55;G³ogów;g³ogowski;dolnoœl¹skie
67-204;FUP G³ogów 2;G³ogów;Gustawa Morcinka;8;G³ogów;g³ogowski;dolnoœl¹skie
67-200;FUP G³ogów 2;G³ogów;Rycerska;27a;G³ogów;g³ogowski;dolnoœl¹skie
67-222;FUP G³ogów 2;Jerzmanowa;G³ogowska;6;Jerzmanowa;g³ogowski;dolnoœl¹skie
67-210;FUP G³ogów 2;Kotla;Szkolna;1;Kotla;g³ogowski;dolnoœl¹skie
67-212;FUP G³ogów 2;Serby;G³ówna;34;G³ogów;g³ogowski;dolnoœl¹skie
67-210;FUP G³ogów 2;¯ukowice;;46;¯ukowice;g³ogowski;dolnoœl¹skie
36-060;UP G³ogów Ma³opolski;G³ogów Ma³opolski;Rynek;58;G³ogów Ma³opolski;rzeszowski;podkarpackie
36-062;FUP G³ogów Ma³opolski;Zaczernie;;266;Trzebownisko;rzeszowski;podkarpackie
48-250;UP G³ogówek;G³ogówek;pl. Wolnoœci;1;G³ogówek;prudnicki;opolskie
39-217;AP G³owaczowa;G³owaczowa;;5H;Czarna;dêbicki;podkarpackie
87-500;AP G³owiñsk;G³owiñsk;;48a;Rypin;rypiñski;kujawsko-pomorskie
95-017;AP G³owno;G³owno;Juliana Tuwima;7;G³owno;zgierski;³ódzkie
95-015;UP G³owno 1;G³owno;Zgierska;6;G³owno;zgierski;³ódzkie
95-016;FUP G³owno 1;G³owno;W³adys³awa Sikorskiego;45/49;G³owno;zgierski;³ódzkie
76-220;UP G³ówczyce;G³ówczyce;Dworcowa;7;G³ówczyce;s³upski;pomorskie
76-230;FUP G³ówczyce;£upawa;;45;Potêgowo;s³upski;pomorskie
76-230;FUP G³ówczyce;Potêgowo;Dar¿yñska;4 B;Potêgowo;s³upski;pomorskie
76-214;FUP G³ówczyce;Smo³dzino;Micha³a Mostnika;4;Smo³dzino;s³upski;pomorskie
48-100;UP G³ubczyce;G³ubczyce;Pocztowa;4;G³ubczyce;g³ubczycki;opolskie
48-140;FUP G³ubczyce;Branice;G³ówna;63;Branice;g³ubczycki;opolskie
